geo_id,geo_display_label
5001500US3204,"Congressional District 4 (115th Congress), Nevada"
5001500US3301,"Congressional District 1 (115th Congress), New Hampshire"
5001500US3302,"Congressional District 2 (115th Congress), New Hampshire"
5001500US3401,"Congressional District 1 (115th Congress), New Jersey"
5001500US3402,"Congressional District 2 (115th Congress), New Jersey"
5001500US3403,"Congressional District 3 (115th Congress), New Jersey"
5001500US3404,"Congressional District 4 (115th Congress), New Jersey"
5001500US3405,"Congressional District 5 (115th Congress), New Jersey"
5001500US3406,"Congressional District 6 (115th Congress), New Jersey"
5001500US3407,"Congressional District 7 (115th Congress), New Jersey"
5001500US3408,"Congressional District 8 (115th Congress), New Jersey"
5001500US3409,"Congressional District 9 (115th Congress), New Jersey"
5001500US3410,"Congressional District 10 (115th Congress), New Jersey"
5001500US3411,"Congressional District 11 (115th Congress), New Jersey"
5001500US3412,"Congressional District 12 (115th Congress), New Jersey"
5001500US3501,"Congressional District 1 (115th Congress), New Mexico"
5001500US3502,"Congressional District 2 (115th Congress), New Mexico"
5001500US3503,"Congressional District 3 (115th Congress), New Mexico"
5001500US3601,"Congressional District 1 (115th Congress), New York"
5001500US3602,"Congressional District 2 (115th Congress), New York"
5001500US3603,"Congressional District 3 (115th Congress), New York"
5001500US3604,"Congressional District 4 (115th Congress), New York"
5001500US3605,"Congressional District 5 (115th Congress), New York"
5001500US3606,"Congressional District 6 (115th Congress), New York"
5001500US3607,"Congressional District 7 (115th Congress), New York"
5001500US3608,"Congressional District 8 (115th Congress), New York"
5001500US3609,"Congressional District 9 (115th Congress), New York"
5001500US3610,"Congressional District 10 (115th Congress), New York"
5001500US3611,"Congressional District 11 (115th Congress), New York"
5001500US3612,"Congressional District 12 (115th Congress), New York"
5001500US3613,"Congressional District 13 (115th Congress), New York"
5001500US3614,"Congressional District 14 (115th Congress), New York"
5001500US3615,"Congressional District 15 (115th Congress), New York"
5001500US3616,"Congressional District 16 (115th Congress), New York"
5001500US3617,"Congressional District 17 (115th Congress), New York"
5001500US3618,"Congressional District 18 (115th Congress), New York"
5001500US3619,"Congressional District 19 (115th Congress), New York"
5001500US3620,"Congressional District 20 (115th Congress), New York"
5001500US3621,"Congressional District 21 (115th Congress), New York"
5001500US3622,"Congressional District 22 (115th Congress), New York"
5001500US3623,"Congressional District 23 (115th Congress), New York"
5001500US3624,"Congressional District 24 (115th Congress), New York"
5001500US3625,"Congressional District 25 (115th Congress), New York"
5001500US3626,"Congressional District 26 (115th Congress), New York"
5001500US3627,"Congressional District 27 (115th Congress), New York"
5001500US3701,"Congressional District 1 (115th Congress), North Carolina"
5001500US3702,"Congressional District 2 (115th Congress), North Carolina"
5001500US3703,"Congressional District 3 (115th Congress), North Carolina"
5001500US3704,"Congressional District 4 (115th Congress), North Carolina"
5001500US3705,"Congressional District 5 (115th Congress), North Carolina"
5001500US3706,"Congressional District 6 (115th Congress), North Carolina"
5001500US3707,"Congressional District 7 (115th Congress), North Carolina"
5001500US3708,"Congressional District 8 (115th Congress), North Carolina"
5001500US3709,"Congressional District 9 (115th Congress), North Carolina"
5001500US3710,"Congressional District 10 (115th Congress), North Carolina"
5001500US3711,"Congressional District 11 (115th Congress), North Carolina"
5001500US3712,"Congressional District 12 (115th Congress), North Carolina"
5001500US3713,"Congressional District 13 (115th Congress), North Carolina"
5001500US3800,"Congressional District (at Large) (115th Congress), North Dakota"
5001500US3901,"Congressional District 1 (115th Congress), Ohio"
5001500US3902,"Congressional District 2 (115th Congress), Ohio"
5001500US3903,"Congressional District 3 (115th Congress), Ohio"
5001500US3904,"Congressional District 4 (115th Congress), Ohio"
5001500US3905,"Congressional District 5 (115th Congress), Ohio"
5001500US3906,"Congressional District 6 (115th Congress), Ohio"
5001500US3907,"Congressional District 7 (115th Congress), Ohio"
5001500US3908,"Congressional District 8 (115th Congress), Ohio"
5001500US3909,"Congressional District 9 (115th Congress), Ohio"
5001500US3910,"Congressional District 10 (115th Congress), Ohio"
5001500US3911,"Congressional District 11 (115th Congress), Ohio"
5001500US3912,"Congressional District 12 (115th Congress), Ohio"
5001500US3913,"Congressional District 13 (115th Congress), Ohio"
5001500US3914,"Congressional District 14 (115th Congress), Ohio"
5001500US3915,"Congressional District 15 (115th Congress), Ohio"
5001500US3916,"Congressional District 16 (115th Congress), Ohio"
5001500US4001,"Congressional District 1 (115th Congress), Oklahoma"
5001500US4002,"Congressional District 2 (115th Congress), Oklahoma"
5001500US4003,"Congressional District 3 (115th Congress), Oklahoma"
5001500US4004,"Congressional District 4 (115th Congress), Oklahoma"
5001500US4005,"Congressional District 5 (115th Congress), Oklahoma"
5001500US4101,"Congressional District 1 (115th Congress), Oregon"
5001500US4102,"Congressional District 2 (115th Congress), Oregon"
5001500US4103,"Congressional District 3 (115th Congress), Oregon"
5001500US4104,"Congressional District 4 (115th Congress), Oregon"
5001500US4105,"Congressional District 5 (115th Congress), Oregon"
5001500US4201,"Congressional District 1 (115th Congress), Pennsylvania"
5001500US4202,"Congressional District 2 (115th Congress), Pennsylvania"
5001500US4203,"Congressional District 3 (115th Congress), Pennsylvania"
5001500US4204,"Congressional District 4 (115th Congress), Pennsylvania"
5001500US4205,"Congressional District 5 (115th Congress), Pennsylvania"
5001500US4206,"Congressional District 6 (115th Congress), Pennsylvania"
5001500US4207,"Congressional District 7 (115th Congress), Pennsylvania"
5001500US4208,"Congressional District 8 (115th Congress), Pennsylvania"
5001500US4209,"Congressional District 9 (115th Congress), Pennsylvania"
5001500US4210,"Congressional District 10 (115th Congress), Pennsylvania"
5001500US4211,"Congressional District 11 (115th Congress), Pennsylvania"
5001500US4212,"Congressional District 12 (115th Congress), Pennsylvania"
5001500US4213,"Congressional District 13 (115th Congress), Pennsylvania"
5001500US4214,"Congressional District 14 (115th Congress), Pennsylvania"
5001500US4215,"Congressional District 15 (115th Congress), Pennsylvania"
5001500US4216,"Congressional District 16 (115th Congress), Pennsylvania"
5001500US4217,"Congressional District 17 (115th Congress), Pennsylvania"
5001500US4218,"Congressional District 18 (115th Congress), Pennsylvania"
5001500US4401,"Congressional District 1 (115th Congress), Rhode Island"
5001500US4402,"Congressional District 2 (115th Congress), Rhode Island"
5001500US4501,"Congressional District 1 (115th Congress), South Carolina"
5001500US4502,"Congressional District 2 (115th Congress), South Carolina"
5001500US4503,"Congressional District 3 (115th Congress), South Carolina"
5001500US4504,"Congressional District 4 (115th Congress), South Carolina"
5001500US4505,"Congressional District 5 (115th Congress), South Carolina"
5001500US4506,"Congressional District 6 (115th Congress), South Carolina"
5001500US4507,"Congressional District 7 (115th Congress), South Carolina"
5001500US4600,"Congressional District (at Large) (115th Congress), South Dakota"
5001500US4701,"Congressional District 1 (115th Congress), Tennessee"
5001500US4702,"Congressional District 2 (115th Congress), Tennessee"
5001500US4703,"Congressional District 3 (115th Congress), Tennessee"
5001500US4704,"Congressional District 4 (115th Congress), Tennessee"
5001500US4705,"Congressional District 5 (115th Congress), Tennessee"
5001500US4706,"Congressional District 6 (115th Congress), Tennessee"
5001500US4707,"Congressional District 7 (115th Congress), Tennessee"
5001500US4708,"Congressional District 8 (115th Congress), Tennessee"
5001500US4709,"Congressional District 9 (115th Congress), Tennessee"
5001500US4801,"Congressional District 1 (115th Congress), Texas"
5001500US4802,"Congressional District 2 (115th Congress), Texas"
